on x=-25..22,y=-37..17,z=-38..8
on x=-1..45,y=-43..11,z=-22..28
on x=-20..26,y=-29..24,z=-16..29
on x=-49..4,y=-9..40,z=-3..47
on x=-36..10,y=-30..18,z=-14..30
on x=-45..2,y=-32..16,z=-33..18
on x=-7..39,y=-7..47,z=-31..17
on x=-13..35,y=-41..13,z=-8..39
on x=-20..27,y=-11..42,z=-2..48
on x=-16..32,y=-9..42,z=-18..30
off x=-11..5,y=-35..-25,z=15..30
on x=-27..17,y=-9..39,z=-45..2
off x=-40..-25,y=21..35,z=-24..-10
on x=-12..38,y=-30..19,z=-38..11
off x=8..19,y=25..37,z=6..23
on x=-17..34,y=-10..43,z=-45..4
off x=-44..-31,y=-22..-5,z=-22..-13
on x=-8..43,y=-6..41,z=-25..25
off x=-17..0,y=28..47,z=19..34
on x=-45..0,y=-44..6,z=-33..15
on x=-7874..5506,y=-20379..-3039,z=59810..88971
on x=-21433..-6261,y=-46900..-34324,z=50271..88746
on x=38450..68609,y=-7656..11913,z=-72939..-50513
on x=10810..32231,y=62915..80230,z=27306..45793
on x=16240..33178,y=-69605..-65010,z=23182..41140
on x=74585..88021,y=-33713..-11811,z=8878..14352
on x=8952..26425,y=-5524..18862,z=-92382..-59599
on x=-5011..17567,y=-62318..-50559,z=47882..72780
on x=74303..97592,y=-15251..3184,z=-10887..11253
on x=-71741..-56752,y=-14773..-2871,z=44590..48159
on x=7145..26216,y=-73908..-47204,z=45148..72408
on x=3353..11909,y=70884..90962,z=-42418..-30798
on x=-86705..-60907,y=-13957..4192,z=-47576..-27852
on x=45879..55901,y=-64766..-35760,z=-50770..-23619
on x=43802..76492,y=43658..54364,z=-29093..-11590
on x=10370..26860,y=45297..57854,z=38221..70721
on x=-63998..-46603,y=-20267..-6000,z=-59847..-56863
on x=-18630..18378,y=40771..60137,z=62275..69541
on x=55671..80730,y=-27426..-12642,z=-60454..-41374
on x=-34693..-14417,y=-79191..-69262,z=-26703..3282
on x=-38261..-30043,y=-31904..-3317,z=60552..74101
on x=-63295..-41017,y=-66142..-47664,z=17578..31398
on x=-13577..1488,y=54526..61735,z=-65440..-38952
on x=48354..70605,y=14703..31697,z=-65071..-40580
on x=62691..92710,y=3173..42903,z=-27555..-15004
on x=-34060..-14740,y=-80185..-57343,z=17703..26938
on x=-88335..-73992,y=7675..23682,z=-29991..-17731
on x=-64720..-47504,y=45814..72187,z=-26042..-1648
on x=57030..64993,y=35410..49151,z=-13732..9894
on x=-77291..-65322,y=-25591..-24178,z=26942..36225
on x=-11274..13032,y=-60620..-45108,z=-82331..-52549
on x=-88590..-60753,y=-7850..4911,z=23234..57969
on x=26408..43629,y=49378..89017,z=5396..16841
on x=69300..87125,y=-47624..-20717,z=-6957..27242
on x=43326..53338,y=41342..68666,z=-29928..-8141
on x=-69964..-57576,y=-44817..-7703,z=24558..49911
on x=-5529..3405,y=-70486..-57793,z=38667..71794
on x=72365..86627,y=-25567..-16003,z=-13583..-4327
on x=9348..39319,y=-73553..-55808,z=-30116..-18951
on x=20947..43924,y=68210..91134,z=-10996..26549
on x=-80994..-60522,y=-17003..2655,z=-6840..18812
