38-41,38-38
18-65,18-65
1-3,4-39
41-42,40-40
1-90,89-90
30-84,31-85
2-98,64-97
75-75,15-76
81-81,22-81
29-92,30-30
95-95,14-95
12-71,70-70
12-93,13-99
31-74,5-32
5-45,2-44
17-85,17-20
75-96,81-99
67-72,73-85
77-84,76-81
6-67,68-68
41-87,87-89
55-56,19-56
1-98,24-97
13-82,14-82
2-99,1-99
4-58,5-57
20-67,66-66
22-85,22-86
41-97,40-40
84-88,84-85
12-34,23-69
35-60,39-61
16-28,12-27
89-93,93-94
52-92,53-91
63-73,7-64
3-54,2-54
76-76,1-76
10-17,16-83
84-88,35-85
23-25,24-63
3-70,2-38
21-64,65-65
1-97,2-97
11-37,36-93
43-60,14-44
15-16,15-52
53-79,11-78
2-96,97-98
19-97,20-99
33-92,32-92
19-26,26-64
66-87,58-66
58-79,43-78
88-98,89-98
3-91,3-38
47-47,47-93
27-85,28-85
1-46,2-47
1-3,4-78
26-52,36-51
41-54,42-54
35-99,1-34
55-95,94-96
18-46,45-54
93-98,2-86
5-90,57-99
2-85,5-86
13-86,13-86
91-93,55-92
41-72,40-86
68-70,38-69
3-4,3-97
57-88,19-87
44-84,3-45
3-87,2-87
2-88,89-89
9-75,8-10
33-46,17-32
14-81,81-82
19-89,20-89
38-82,39-81
3-85,3-97
16-43,43-43
10-10,11-90
2-79,2-96
19-60,61-86
2-97,1-98
11-22,11-12
2-25,24-25
21-89,22-90
10-35,11-35
33-35,32-35
41-41,8-42
4-74,2-3
1-2,3-90
60-91,59-92
5-90,90-97
95-96,2-96
49-81,49-81
9-37,21-57
41-76,40-77
93-93,3-93
9-96,1-6
9-53,54-95
66-93,80-92
32-32,32-34
73-95,27-72
47-88,46-46
57-91,51-92
78-78,78-81
8-57,58-81
5-49,14-18
87-87,22-88
3-66,67-67
94-96,15-94
3-70,3-70
9-94,10-65
11-59,58-59
32-82,12-83
44-89,43-89
55-95,7-54
5-18,19-49
88-89,34-89
1-84,84-84
62-92,31-63
93-95,30-88
10-36,10-36
32-91,90-92
72-86,73-92
54-70,5-70
20-77,19-78
14-27,28-86
19-52,19-70
5-98,6-94
74-97,74-75
23-42,23-23
13-19,13-19
21-31,30-31
22-67,68-69
18-69,19-76
6-7,6-97
3-19,4-20
2-66,44-67
39-77,40-84
15-72,2-9
81-90,90-93
45-86,44-72
21-57,45-58
23-72,20-22
10-63,36-62
15-78,78-79
59-90,59-90
55-61,60-82
75-97,61-97
71-76,71-76
62-62,13-61
5-5,4-54
74-75,15-74
83-84,56-84
25-41,24-42
4-4,7-87
19-84,26-83
1-98,9-97
7-30,29-29
11-93,2-12
71-76,77-77
44-88,44-89
1-17,16-37
62-62,27-61
11-77,11-77
80-80,80-82
90-90,31-90
6-77,77-85
30-31,31-93
36-62,35-36
69-91,11-90
4-17,16-16
5-71,33-96
1-99,1-99
83-83,57-82
12-75,55-76
41-41,8-40
1-99,4-92
30-31,31-57
25-54,26-26
7-14,67-78
17-97,97-97
10-49,21-50
12-95,1-96
90-99,1-98
92-93,31-92
15-16,15-48
33-97,55-98
29-92,29-83
58-58,5-59
23-80,79-86
7-70,45-71
5-21,5-20
34-40,33-39
41-92,40-99
13-96,12-77
28-63,27-64
10-94,10-93
25-82,82-82
32-91,11-32
16-97,15-96
27-49,37-50
23-85,10-84
2-55,35-56
98-99,20-93
2-86,2-87
12-41,5-11
59-84,58-84
20-62,75-89
8-45,7-45
25-32,33-44
27-28,29-77
2-67,66-67
41-88,42-96
40-40,4-40
1-96,97-98
42-95,41-93
8-79,9-78
7-89,9-25
99-99,9-99
88-91,82-87
21-90,90-90
53-94,93-99
26-59,54-78
30-99,34-89
51-69,51-69
7-98,1-97
30-81,82-82
16-93,18-89
10-91,90-91
2-7,8-50
35-76,35-35
49-96,95-97
45-57,86-91
7-56,61-65
12-87,74-83
92-92,17-92
4-18,3-19
36-78,23-37
5-92,4-93
4-93,8-92
59-82,81-81
18-88,19-88
24-64,24-65
28-91,5-90
74-86,73-87
20-35,19-31
99-99,10-97
9-10,10-70
94-94,21-94
27-37,37-94
3-82,81-84
55-80,49-54
77-78,40-77
16-48,15-48
3-96,97-99
32-97,96-96
14-84,9-60
17-91,16-16
94-94,16-95
12-61,6-61
14-95,98-99
63-64,59-64
64-82,82-84
4-99,3-62
4-98,2-97
85-99,27-84
19-73,19-73
35-64,10-93
5-13,9-20
8-40,41-76
90-95,29-89
24-97,21-22
53-56,52-56
21-59,58-59
41-93,40-94
2-86,2-85
42-95,95-95
37-89,6-89
52-63,45-51
9-89,21-88
32-84,33-83
11-17,18-90
13-16,13-16
97-97,2-97
68-72,68-69
18-23,18-48
28-68,29-70
11-94,93-96
11-94,94-94
97-98,2-98
19-73,74-74
40-60,59-60
38-53,37-54
10-15,16-74
46-55,45-67
19-54,20-53
32-32,33-97
20-86,12-19
23-79,78-90
12-53,23-52
20-93,21-95
3-49,14-50
67-76,51-66
1-35,36-62
36-68,35-35
12-81,21-82
33-41,34-42
13-65,32-64
37-85,36-86
6-50,31-50
13-16,12-12
36-50,36-50
16-76,17-66
71-71,54-71
6-57,15-58
3-5,6-52
3-91,1-92
69-96,45-68
36-44,36-46
21-61,20-50
71-73,11-72
7-97,8-90
7-73,1-6
39-45,39-46
16-90,3-91
25-29,26-28
49-73,28-89
95-97,14-96
26-75,50-74
70-84,70-92
27-43,14-77
34-42,43-43
38-62,37-63
73-78,15-78
83-83,3-82
16-17,17-91
4-68,3-69
8-80,9-79
4-87,1-86
2-30,2-30
66-82,55-81
78-78,79-86
45-86,49-86
2-6,5-98
12-29,11-30
48-52,53-53
45-72,46-54
82-82,48-81
93-94,42-94
1-84,2-98
14-75,13-28
19-19,20-91
63-63,39-64
2-59,58-60
63-63,16-63
2-98,3-99
52-69,51-52
16-61,16-62
29-73,70-76
41-86,2-94
84-85,1-85
13-89,12-89
7-21,23-93
42-46,43-70
27-82,27-82
93-95,6-94
52-55,54-54
60-61,17-61
66-66,17-67
25-80,81-85
35-92,11-36
68-92,68-92
98-99,44-72
31-36,32-37
5-94,6-95
16-76,75-99
23-76,23-76
14-66,66-94
7-37,5-58
59-62,1-81
31-60,31-93
54-54,53-59
15-17,16-16
7-96,8-97
66-71,67-72
49-50,51-92
3-32,13-31
74-76,4-75
4-87,86-87
4-89,4-89
37-69,37-70
67-89,1-23
89-89,37-89
3-12,3-12
4-84,5-83
10-92,10-92
18-92,92-92
6-82,3-99
6-7,6-90
3-91,2-92
68-69,9-69
22-23,24-67
60-93,61-94
47-56,55-60
8-75,1-2
20-29,23-30
39-43,43-51
7-66,6-38
43-64,44-63
70-91,29-90
55-56,7-56
66-85,67-84
56-58,54-57
33-76,76-76
6-8,9-70
25-33,47-89
24-38,39-92
13-46,13-45
45-46,45-54
8-37,47-92
8-66,12-67
9-58,48-59
