LRLRRLRLRLLRRRLLLRLLRRLLRRRLRLRLRRRLRRLRLRRRLRRRLRRRLRRRLRRLRRRLRRRLRRLLLRLLRLRRRLRRRLRRLRLRLRLRRRLRRRLRRRLRRLRRLRRLLRRLRRRLLRRLRRRLRRRLRRRLRLRRLRLRRRLRRLLRLRLLRLRLRRRLRLRRLLRRRLRLRLRLRLRLRRLRLRRLLLLRRLRRLRRRLRRLRRLRRRLRRLRRRLLRLRRLLRLRRLRRLRRLLRRRLRLRLRRRLRRLRLLRLRRRR

TNX = (BBN, MXH)
TCN = (VBD, LTV)
DXP = (GMJ, CMG)
RRM = (FHL, FHB)
DFG = (MVT, FTP)
GFJ = (TRG, LFT)
FKL = (SFR, NRR)
GMJ = (RRM, NRT)
FPM = (GTQ, NSH)
RKL = (DSC, VNR)
RXK = (RQR, TQX)
GGV = (DFG, TNJ)
KVR = (BBD, RHV)
RVJ = (MVJ, MNN)
XCM = (QMM, BTG)
PMS = (PRQ, BMN)
BHM = (QGQ, KNC)
FMC = (NTT, HDH)
BNX = (DSC, VNR)
QSJ = (XFR, JMV)
JMM = (CDT, SXX)
BNK = (MTL, RVF)
CBQ = (VPF, VQD)
KKK = (VKD, SJH)
FXH = (CMG, GMJ)
BSF = (GFQ, HSV)
XHN = (SNR, FPM)
BNG = (DMT, MPL)
JQT = (HXB, STK)
VGR = (CVT, RSF)
HMD = (RTN, MGT)
QBD = (FKD, PCL)
RXH = (SKN, DBR)
VDJ = (VLB, RCG)
DMF = (VNJ, DDM)
THR = (LVL, GGV)
QVH = (VQD, VPF)
XVX = (JGQ, VQG)
LCV = (RSJ, BHM)
GHN = (FTH, VXF)
QPF = (PKQ, HPQ)
DSS = (JHF, FDN)
VHJ = (TCN, TVC)
KVJ = (FGH, HCV)
VHN = (VQG, JGQ)
SMF = (NQC, JQK)
MVQ = (GLB, LGG)
JKX = (XNC, XNC)
LDH = (GLB, LGG)
SJH = (XHL, BKG)
HDM = (PSQ, LJS)
XKF = (BVP, VGJ)
PJD = (RVC, QDT)
TKM = (MLD, KTS)
KLM = (KTC, VJV)
BCT = (CJS, PSJ)
SJB = (XFB, MCX)
HPR = (DNM, JQJ)
RTN = (LVK, CFK)
GXD = (JPS, GFJ)
CVV = (MJR, VNS)
CLF = (DHK, TXC)
LFT = (FMQ, KPB)
RGJ = (FJR, GHZ)
MLF = (DPD, CKR)
DCS = (RNG, LNH)
LXR = (PFM, NLX)
BKJ = (SKM, SLQ)
SHL = (HDM, GNS)
STN = (SGX, LBD)
BQB = (GRR, FFB)
TPT = (BNP, JRK)
TKP = (GHN, CRT)
BHJ = (QJL, BDF)
JFC = (MKK, LCX)
LNQ = (KVP, TVT)
XKR = (LXM, BHJ)
MLX = (TDC, LCV)
MJX = (BNP, JRK)
RXX = (FMR, FMR)
MHG = (SMF, KVT)
CMJ = (XNV, CVV)
JKG = (FLM, QHQ)
SHT = (HXB, STK)
PDS = (QGG, NNZ)
NSH = (JBX, GLR)
BVP = (MKN, SKQ)
LKC = (QCR, CQJ)
AAA = (PFM, NLX)
RXR = (FMR, QNR)
VBH = (XGF, CMJ)
QNM = (GXD, PRT)
VGV = (QQR, SXP)
PRT = (GFJ, JPS)
VXF = (XBB, DVX)
BBD = (XRD, GQX)
BTG = (CSJ, DFN)
XSF = (CLF, GLV)
NXB = (TDC, LCV)
FBK = (BCT, BMM)
HXB = (TLV, DKM)
JKH = (DBT, GBX)
JDL = (HQT, HTH)
PFV = (BBN, MXH)
KNC = (NVM, GVM)
GPF = (QBD, HBN)
JLJ = (HPR, TKB)
LQN = (XJQ, JLJ)
FFN = (FMB, FHR)
SCP = (XRS, XVM)
MQL = (SMJ, SXF)
QGQ = (GVM, NVM)
KMF = (FQF, XVD)
QCR = (VGV, CDR)
LXM = (QJL, BDF)
TDV = (VHL, MML)
KTM = (NQL, TCT)
XKS = (JMJ, LFN)
JHJ = (FKG, LJM)
VHL = (LMB, PKR)
CDT = (QJJ, HFM)
TVC = (LTV, VBD)
XBP = (CFM, VDP)
LQJ = (XVM, XRS)
VDP = (HNL, GRT)
XHL = (HLR, PDR)
CQD = (VNJ, DDM)
NSG = (BMH, JKG)
SPZ = (DFV, QDG)
NCV = (FRM, CBF)
SVV = (LLD, JKH)
LFN = (MDS, PHG)
KPC = (NVV, MBF)
VDN = (QVP, HQD)
DSC = (PMK, TKG)
MML = (LMB, PKR)
FHS = (VBF, CXX)
DFT = (XKF, SLC)
VGG = (SSS, SBH)
LDS = (QSK, XKR)
NDB = (XRG, SHS)
GRR = (MBL, GVT)
QKL = (FXJ, TRC)
DJK = (LNF, XVF)
